ID,Grade Level,Time (F),Time (M),Room,1st Mix,,2nd Mix,,,Condition,MuddyCard url,SelfMix url
s01,12,,9:00 AM,3411,https://mix.office.com/watch/pgap556t93tf,,https://mix.office.com/watch/1utxabfapbj6f,,,IndexFirst,1084,267
s02,12,1:00 PM,,3411,https://mix.office.com/watch/7nbc2tt3xyjr,,https://mix.office.com/watch/p3kak87gx0nv,,,MuddyFirst,80,219
s03,12,4:00 PM,,3411,https://mix.office.com/watch/p3kak87gx0nv,,https://mix.office.com/watch/9jimwomuez7i,,,IndexFirst,1085,251
s04,12,4:00 PM,,3467,https://mix.office.com/watch/9jimwomuez7i,,https://mix.office.com/watch/pgap556t93tf,,,MuddyFirst,1085,254
s05,11,2:00 PM,,3411,https://mix.office.com/watch/1vsdchojj0x85,,https://mix.office.com/watch/7nbc2tt3xyjr,,,IndexFirst,80,221
s06,11,3:00 PM,,3411,https://mix.office.com/watch/7nbc2tt3xyjr,,https://mix.office.com/watch/p3kak87gx0nv,,,MuddyFirst,80,219
s07,11,,11:00 AM,3411,https://mix.office.com/watch/9jimwomuez7i,,https://mix.office.com/watch/1utxabfapbj6f,,,IndexFirst,1084,267
s08,11,,3:00 PM,3411,https://mix.office.com/watch/1vsdchojj0x85,,https://mix.office.com/watch/1utxabfapbj6f,,,MuddyFirst,1086,267
s09,10,10:00 AM,,3411,https://mix.office.com/watch/5tdhmwvihm02,,https://mix.office.com/watch/14yuxrepl3mhl,,,IndexFirst,1087,222
s10,10,11:00 AM,,3411,https://mix.office.com/watch/5tdhmwvihm02,,https://mix.office.com/watch/14yuxrepl3mhl,,,MuddyFirst,1088,222
s11,10,1:00 PM,,3467,https://mix.office.com/watch/14yuxrepl3mhl,,https://mix.office.com/watch/nvwikb1ww5rf,,,IndexFirst,1089,193
s12,10,,8:00 AM,3411,https://mix.office.com/watch/1hhsxxttjxfki,,https://mix.office.com/watch/nvwikb1ww5rf,,,MuddyFirst,1090,193
s13,10,,9:00 AM,3467,https://mix.office.com/watch/1hhsxxttjxfki,,https://mix.office.com/watch/pgap556t93tf,,,IndexFirst,1091,254
s14,10,,10:00 AM,3411,https://mix.office.com/watch/16fgz21x95jdp,,https://mix.office.com/watch/2b97byzip5nv,,,MuddyFirst,1092,229
s15,10,,2:00 PM,3411,https://mix.office.com/watch/1hhsxxttjxfki,,https://mix.office.com/watch/tsen2zftmvpq,,,IndexFirst,1079,265
s16,10,,4:00 PM,3411,https://mix.office.com/watch/5tdhmwvihm02,,https://mix.office.com/watch/m13fa7oxz45l,,,MuddyFirst,1088,274
s17,9,9:00 AM,,3411,https://mix.office.com/watch/16fgz21x95jdp,,https://mix.office.com/watch/2b97byzip5nv,,,IndexFirst,1093,229
s18,9,11:00 AM,,3467,https://mix.office.com/watch/2b97byzip5nv,,https://mix.office.com/watch/tsen2zftmvpq,,,MuddyFirst,1093,265
s19,9,2:00 PM,,3467,https://mix.office.com/watch/tsen2zftmvpq,,https://mix.office.com/watch/px13pjqha2wr,,,IndexFirst,1094,280
s20,9,,8:00 AM,3467,https://mix.office.com/watch/a0dh6a5wvnfy,,https://mix.office.com/watch/14rkw1wo6z0x2,,,MuddyFirst,1095,205
s21,9,,1:00 PM,3411,https://mix.office.com/watch/px13pjqha2wr,,https://mix.office.com/watch/a0dh6a5wvnfy,,,IndexFirst,1095,202
s22,9,,1:00 PM,3467,https://mix.office.com/watch/a0dh6a5wvnfy,,https://mix.office.com/watch/16fgz21x95jdp,,,MuddyFirst,1095,191
s23,8,9:00 AM,,3467,https://mix.office.com/watch/7i89kaiyff7u,,https://mix.office.com/watch/18wnjzrf1yys5,,,IndexFirst,1081,232
s24,8,10:00 AM,,3467,https://mix.office.com/watch/18wnjzrf1yys5,,https://mix.office.com/watch/wbx1l12zqcbn,,,MuddyFirst,1081,244
s25,8,,10:00 AM,3467,https://mix.office.com/watch/wbx1l12zqcbn,,https://mix.office.com/watch/sf8d3b7oovig,,,IndexFirst,1096,203
s26,8,,11:00 AM,3467,https://mix.office.com/watch/7i89kaiyff7u,,https://mix.office.com/watch/sf8d3b7oovig,,,MuddyFirst,1080,203
s27,8,,2:00 PM,3467,https://mix.office.com/watch/7i89kaiyff7u,,https://mix.office.com/watch/18wnjzrf1yys5,,,IndexFirst,1081,232
s28,8,,4:00 PM,3467,https://mix.office.com/watch/wbx1l12zqcbn,,https://mix.office.com/watch/sf8d3b7oovig,,,MuddyFirst,1083,203